100
path,point1x,point1y,point2x,point2y,distance
1-2,0.4179924564742493,0.34411192527552814,0.058938155611387155,0.679530288365254,0.49135065815149764
2-1,0.058938155611387155,0.679530288365254,0.4179924564742493,0.34411192527552814,0.49135065815149764
1-3,0.4179924564742493,0.34411192527552814,0.4784590047029411,0.05381499589254157,0.2965274197504902
3-1,0.4784590047029411,0.05381499589254157,0.4179924564742493,0.34411192527552814,0.2965274197504902
1-4,0.4179924564742493,0.34411192527552814,0.52115942968839,0.8066037608804467,0.4738587578206973
4-1,0.52115942968839,0.8066037608804467,0.4179924564742493,0.34411192527552814,0.4738587578206973
1-5,0.4179924564742493,0.34411192527552814,0.5806320199484606,0.6029501879313506,0.3056940853562046
5-1,0.5806320199484606,0.6029501879313506,0.4179924564742493,0.34411192527552814,0.3056940853562046
1-6,0.4179924564742493,0.34411192527552814,0.30919899793481864,0.6552131835038437,0.32957549892583327
6-1,0.30919899793481864,0.6552131835038437,0.4179924564742493,0.34411192527552814,0.32957549892583327
1-7,0.4179924564742493,0.34411192527552814,0.919882625254582,0.7476597889282088,0.6440066923386693
7-1,0.919882625254582,0.7476597889282088,0.4179924564742493,0.34411192527552814,0.6440066923386693
1-8,0.4179924564742493,0.34411192527552814,0.6553475030164537,0.5356261761284699,0.30498381333902874
8-1,0.6553475030164537,0.5356261761284699,0.4179924564742493,0.34411192527552814,0.30498381333902874
1-9,0.4179924564742493,0.34411192527552814,0.34924138492074497,0.10915648183997351,0.24480761883518493
9-1,0.34924138492074497,0.10915648183997351,0.4179924564742493,0.34411192527552814,0.24480761883518493
1-10,0.4179924564742493,0.34411192527552814,0.5410940445399985,0.49619628665298077,0.195662091269354
10-1,0.5410940445399985,0.49619628665298077,0.4179924564742493,0.34411192527552814,0.195662091269354
1-11,0.4179924564742493,0.34411192527552814,0.44905339568860936,0.17234262762093788,0.17455507314778737
11-1,0.44905339568860936,0.17234262762093788,0.4179924564742493,0.34411192527552814,0.17455507314778737
1-12,0.4179924564742493,0.34411192527552814,0.28232096062534573,0.683989196407776,0.3659553445684085
12-1,0.28232096062534573,0.683989196407776,0.4179924564742493,0.34411192527552814,0.3659553445684085
1-13,0.4179924564742493,0.34411192527552814,0.295876525220505,0.5298252112514997,0.22226498881731738
13-1,0.295876525220505,0.5298252112514997,0.4179924564742493,0.34411192527552814,0.22226498881731738
1-14,0.4179924564742493,0.34411192527552814,0.5634809826131318,0.6252242659304493,0.31652971314957584
14-1,0.5634809826131318,0.6252242659304493,0.4179924564742493,0.34411192527552814,0.31652971314957584
1-15,0.4179924564742493,0.34411192527552814,0.7151912790861654,0.31514302270275596,0.2986073299136844
15-1,0.7151912790861654,0.31514302270275596,0.4179924564742493,0.34411192527552814,0.2986073299136844
1-16,0.4179924564742493,0.34411192527552814,0.5176186770719936,0.49151063944152695,0.17790942855391398
16-1,0.5176186770719936,0.49151063944152695,0.4179924564742493,0.34411192527552814,0.17790942855391398
1-17,0.4179924564742493,0.34411192527552814,0.35204182859040833,0.82014203851923,0.4805768971070961
17-1,0.35204182859040833,0.82014203851923,0.4179924564742493,0.34411192527552814,0.4805768971070961
1-18,0.4179924564742493,0.34411192527552814,0.6327788586249428,0.13262045563523195,0.3014329780887482
18-1,0.6327788586249428,0.13262045563523195,0.4179924564742493,0.34411192527552814,0.3014329780887482
1-19,0.4179924564742493,0.34411192527552814,0.8731190201719776,0.12130948227293514,0.5067357472995427
19-1,0.8731190201719776,0.12130948227293514,0.4179924564742493,0.34411192527552814,0.5067357472995427
1-20,0.4179924564742493,0.34411192527552814,0.1678884446672988,0.4462149309981607,0.2701426299189507
20-1,0.1678884446672988,0.4462149309981607,0.4179924564742493,0.34411192527552814,0.2701426299189507
1-21,0.4179924564742493,0.34411192527552814,0.9874783222814236,0.040934136567943424,0.6451596104219233
21-1,0.9874783222814236,0.040934136567943424,0.4179924564742493,0.34411192527552814,0.6451596104219233
1-22,0.4179924564742493,0.34411192527552814,0.3494149296248078,0.30051670890285287,0.08126143045360601
