10
path,point1x,point1y,point2x,point2y,distance
1-2,-1.0856306033005612,-0.6788861516220543,0.9973454465835858,-0.09470896893689112,2.1633428311668355
2-1,0.9973454465835858,-0.09470896893689112,-1.0856306033005612,-0.6788861516220543,2.1633428311668355
1-3,-1.0856306033005612,-0.6788861516220543,0.28297849805199204,1.4913896261242878,2.5657723639827315
3-1,0.28297849805199204,1.4913896261242878,-1.0856306033005612,-0.6788861516220543,2.5657723639827315
1-4,-1.0856306033005612,-0.6788861516220543,-1.506294713918092,-0.638901996684651,0.422560086387364
4-1,-1.506294713918092,-0.638901996684651,-1.0856306033005612,-0.6788861516220543,0.422560086387364
1-5,-1.0856306033005612,-0.6788861516220543,-0.5786002519685364,-0.44398195964606546,0.5588020728126988
5-1,-0.5786002519685364,-0.44398195964606546,-1.0856306033005612,-0.6788861516220543,0.5588020728126988
1-6,-1.0856306033005612,-0.6788861516220543,1.651436537097151,-0.43435127561851733,2.7479690385131663
6-1,1.651436537097151,-0.43435127561851733,-1.0856306033005612,-0.6788861516220543,2.7479690385131663
1-7,-1.0856306033005612,-0.6788861516220543,-2.426679243393074,2.2059300827254558,3.1812853001654737
7-1,-2.426679243393074,2.2059300827254558,-1.0856306033005612,-0.6788861516220543,3.1812853001654737
1-8,-1.0856306033005612,-0.6788861516220543,-0.42891262885617726,2.1867860889737867,2.9399584841422373
8-1,-0.42891262885617726,2.1867860889737867,-1.0856306033005612,-0.6788861516220543,2.9399584841422373
1-9,-1.0856306033005612,-0.6788861516220543,1.265936258705534,1.004053897878877,2.8917389088054595
9-1,1.265936258705534,1.004053897878877,-1.0856306033005612,-0.6788861516220543,2.8917389088054595
1-10,-1.0856306033005612,-0.6788861516220543,-0.8667404022651017,0.386186399174856,1.0873327267080584
10-1,-0.8667404022651017,0.386186399174856,-1.0856306033005612,-0.6788861516220543,1.0873327267080584
2-3,0.9973454465835858,-0.09470896893689112,0.28297849805199204,1.4913896261242878,1.739548473141633
3-2,0.28297849805199204,1.4913896261242878,0.9973454465835858,-0.09470896893689112,1.739548473141633
2-4,0.9973454465835858,-0.09470896893689112,-1.506294713918092,-0.638901996684651,2.562100721034624
4-2,-1.506294713918092,-0.638901996684651,0.9973454465835858,-0.09470896893689112,2.562100721034624
2-5,0.9973454465835858,-0.09470896893689112,-0.5786002519685364,-0.44398195964606546,1.6141860075046703
5-2,-0.5786002519685364,-0.44398195964606546,0.9973454465835858,-0.09470896893689112,1.6141860075046703
2-6,0.9973454465835858,-0.09470896893689112,1.651436537097151,-0.43435127561851733,0.7370156383532448
6-2,1.651436537097151,-0.43435127561851733,0.9973454465835858,-0.09470896893689112,0.7370156383532448
2-7,0.9973454465835858,-0.09470896893689112,-2.426679243393074,2.2059300827254558,4.1251527394271825
7-2,-2.426679243393074,2.2059300827254558,0.9973454465835858,-0.09470896893689112,4.1251527394271825
2-8,0.9973454465835858,-0.09470896893689112,-0.42891262885617726,2.1867860889737867,2.6906192218573
8-2,-0.42891262885617726,2.1867860889737867,0.9973454465835858,-0.09470896893689112,2.6906192218573
2-9,0.9973454465835858,-0.09470896893689112,1.265936258705534,1.004053897878877,1.1311148756203029
